GK 6831 Spalt1.tif;6831;Spalt1;;;;
GK 6832 Heideck1.tif;6832;Heideck1;;;;
GK 6833 Hilpoltstein1.tif;6833;Hilpoltstein1;;;;
GK 6834 Berching1.tif;6834;Berching1;;;;
GK 6838 Regenstauf1.tif;6838;Regenstauf1;;;;
GK 6928 Weiltingen1.tif;6928;Weiltingen1;;;;
GK 6929 Wassertrüdingen1.tif;6929;Wassertrüdingen1;;;;
GK 6930 Heidenheim1.tif;6930;Heidenheim1;;;;
GK 6931 Weissenburg1.tif;6931;Weissenburg1;;;;
GK 6935 Dietfurt 20111.tif;6935;Dietfurt;20111;;;
GK 6937 Laaber1.tif;6937;Laaber1;;;;
GK 6938 Regensburg1.tif;6938;Regensburg1;;;;
GK 7324 Geislingen1.tif;7324;Geislingen1;;;;
GK 7333 Karlshuld1.tif;7333;Karlshuld1;;;;
GK 7421 Metzingen1.tif;7421;Metzingen1;;;;
GK 7031 Treuchtlingen1.tif;7031;Treuchtlingen1;;;;
GK 7032 Bieswang1.tif;7032;Bieswang1;;;;
GK 7033 Titting1.tif;7033;Titting1;;;;
GK 7034 Kipfenberg1.tif;7034;Kipfenberg1;;;;
GK 7038 Bad Abbach1.tif;7038;Bad;Abbach1;;;
GK 7121 Stuttgart Nordost1.tif;7121;Stuttgart;Nordost1;;;
GK 7127 Westhausen1.tif;7127;Westhausen1;;;;
GK 7133 Eichstaett1.tif;7133;Eichstaett1;;;;
GK 7135 Kösching1.tif;7135;Kösching1;;;;
GK 7146 Grafenau_1.tif;7146;Grafenau_1;;;;
GK 7232 Burgheim Nord1.tif;7232;Burgheim;Nord1;;;
GK 7233 Neuburg a. d. Donau1.tif;7233;Neuburg;a.;d.;Donau1;
GK 7235 Vohburg a d Donau1.tif;7235;Vohburg;a;d;Donau1;
GK 8237 Miesbach Karte1.tif;8237;Miesbach;Karte1;;;
GK 7521 Reutlingen1.tif;7521;Reutlingen1;;;;
GK 7636 Freising Süd1.tif;7636;Freising;Süd1;;;
GK 8034 Starnberg Süd1.tif;8034;Starnberg;Süd1;;;
GK6528 Marktbergel1.tif;6528;Marktbergel1;;;;
GK25_6533_Karte_georef1.tif;6533;;;;;
GK 6628 Leutershausen1.tif;6628;Leutershausen1;;;;
6721b_g300.tif;6721;;;;;
gk6722.tif;6722;;;;;
GK 6726 Rot am See - Kopie.tif;6726;Rot;am;See;-;Kopie
GK 6729 Ansbach-Süd2.tif;6729;Ansbach-Süd2;;;;
GK 6731 Abenberg3.tif;6731;Abenberg3;;;;
GK 6821 Heilbronn.tif;6821;Heilbronn;;;;
GK 6836 Parsberg2.tif;6836;Parsberg2;;;;
GK25_6934_Karte_georef1.tif;6934;;;;;
7021_g300.tif;7021;;;;;
gk7124.tif;7124;;;;;
7223_g300.tif;7223;;;;;
gk7224.tif;7224;;;;;
7335 Geisenfeld3.tif;7335;Geisenfeld3;;;;
GK25_7441_Karte_georef1.tif;7441;;;;;
GK25_8234_Karte_georef1.tif;8234;;;;;
