GK25_Bayern_join_csv_link;GK25_Bayern_join_csv_Name;GK25_Bayern_join_csv_AltName;GK25_Bayern_join_csv_id;GK25_Bayern_join_csv_id_X;GK25_Bayern_join_csv_id_Y;GK25_Bayern_join_csv_id2;GK25_Bayern_join_csv_id2_X;GK25_Bayern_join_csv_id2_Y;GK25_Bayern_join_csv_x1;GK25_Bayern_join_csv_y1;GK25_Bayern_join_csv_x2;GK25_Bayern_join_csv_y2;GK25_Bayern_join_csv_x3;GK25_Bayern_join_csv_y3;GK25_Bayern_join_csv_x3_1;GK25_Bayern_join_csv_y4;GK25_Bayern_join_csv_x5;GK25_Bayern_join_csv_y5;GK25_Bayern_join_csv_x6;GK25_Bayern_join_csv_y6;GK25_Bayern_join_csv_x7;GK25_Bayern_join_csv_y7;GK25_Bayern_join_csv_x8;GK25_Bayern_join_csv_y8;GK_5633_5634_Sonneberg_Teuschnitz2_tif;GK25_bereits_vorhanden_csv_5633_5634;GK25_bereits_vorhanden_csv_5633_5634_X;GK25_bereits_vorhanden_csv_5633_5634_Y;GK25_bereits_vorhanden_csv_Sonneberg_Teuschnitz2;GK25_bereits_vorhanden_csv_Field4;GK25_bereits_vorhanden_csv_Field5;GK25_bereits_vorhanden_csv_Field6;GK25_bereits_vorhanden_csv_Field7
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7445.zip;vGK25 7445 Ortenburg;vGK25 7445 Ortenburg;7445;0.000000000000000;0.000000000000000;7445;0.000000000000000;0.000000000000000;573;390;573;410;552;410;552;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7444.zip;vGK25 7444 Aidenbach;vGK25 7444 Aidenbach;7444;0.000000000000000;0.000000000000000;7444;0.000000000000000;0.000000000000000;552;391;552;410;531;410;530;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7443.zip;vGK25 7443 Ro�bach;vGK25 7443 Ro�bach;7443;0.000000000000000;0.000000000000000;7443;0.000000000000000;0.000000000000000;530;391;531;410;509;410;509;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7433.zip;GK25 7433 Schrobenhausen;GK25 7433 Schrobenhausen;7433;0.000000000000000;0.000000000000000;7433;0.000000000000000;0.000000000000000;318;391;318;411;296;410;297;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7442.zip;vGK25 7442 Arnstorf;vGK25 7442 Arnstorf;7442;0.000000000000000;0.000000000000000;7442;0.000000000000000;0.000000000000000;509;391;509;410;488;411;488;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7434.zip;GK25 7434 Hohenwart;GK25 7434 Hohenwart;7434;0.000000000000000;0.000000000000000;7434;0.000000000000000;0.000000000000000;339;392;339;411;318;411;318;391;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7435.zip;GK25 7435 Pfaffenhofen a.d.Ilm;GK25 7435 Pfaffenhofen a.d.Ilm;7435;0.000000000000000;0.000000000000000;7435;0.000000000000000;0.000000000000000;360;392;360;411;339;411;339;392;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7440.zip;vGK25 7440 Aham;vGK25 7440 Aham;7440;0.000000000000000;0.000000000000000;7440;0.000000000000000;0.000000000000000;467;392;467;411;445;411;445;392;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7439.zip;vGK25 7439 Landshut Ost;vGK25 7439 Landshut Ost;7439;0.000000000000000;0.000000000000000;7439;0.000000000000000;0.000000000000000;445;392;445;411;424;411;424;392;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
http://www.lfu.bayern.de/gdi/dls/daten/gk25/gk25_7437.zip;vGK25 7437 Bruckberg;vGK25 7437 Bruckberg;7437;0.000000000000000;0.000000000000000;7437;0.000000000000000;0.000000000000000;403;392;403;411;382;411;382;392;0;0;0;0;;;;;;;0.000000000000000;0.000000000000000;;;;;
